transaction_id,customer_id,counterparty_id,timestamp,direction,amount,currency,channel,description,pattern,institution_id
TX-0001,CUST-007,CP-018,2026-01-01 12:00:00,CREDIT,2486.53,USD,CARD_PROCESSOR,Restaurant customer receipts,business_receipts,BANK-RIO-SUR
TX-0002,CUST-004,CP-001,2026-01-01 12:00:00,CREDIT,3883.12,USD,BANK_TRANSFER,Software consulting payment,baseline_income,BANK-RIO-SUR
TX-0003,CUST-006,CP-007,2026-01-01 14:00:00,CREDIT,3657.13,USD,BANK_TRANSFER,Regular professional/employment income,baseline_income,BANK-RIO-SUR
TX-0004,CUST-001,CP-002,2026-01-02 20:00:00,CREDIT,4159.57,USD,BANK_TRANSFER,Regular professional/employment income,baseline_income,BANK-RIO-SUR
TX-0005,CUST-003,CP-004,2026-01-03 18:00:00,CREDIT,6204.05,USD,BANK_TRANSFER,Regular professional/employment income,baseline_income,BANK-RIO-SUR
TX-0006,CUST-005,CP-018,2026-01-04 14:00:00,CREDIT,5948.73,USD,CARD_PROCESSOR,Business customer receipts,business_receipts,BANK-RIO-SUR
TX-0007,CUST-012,CP-015,2026-01-05 13:00:00,DEBIT,10946.37,USD,BANK_TRANSFER,Investment activity,legitimate_high_value,BANK-RIO-SUR
TX-0008,CUST-012,CP-014,2026-01-06 14:00:00,CREDIT,6398.92,USD,BANK_TRANSFER,Business-related receipt,complex_business,BANK-RIO-SUR
TX-0009,CUST-004,CP-012,2026-01-07 08:00:00,DEBIT,470.78,USD,BANK_TRANSFER,Professional operating expense,baseline_expense,BANK-RIO-SUR
TX-0010,CUST-005,CP-010,2026-01-07 12:00:00,DEBIT,2394.05,USD,INTERNATIONAL_TRANSFER,Supplier payment for imported goods,legitimate_international,BANK-RIO-SUR
TX-0011,CUST-011,CP-017,2026-01-07 14:00:00,CREDIT,1990.2,USD,BANK_TRANSFER,Creative services payment,incomplete_kyc_income,BANK-RIO-SUR
TX-0012,CUST-008,CP-008,2026-01-07 17:00:00,CREDIT,2850.67,USD,INTERNATIONAL_TRANSFER,Software development client payment,variable_income,BANK-RIO-SUR
TX-0013,CUST-001,CP-002,2026-01-07 19:00:00,DEBIT,88.07,USD,BANK_TRANSFER,Routine household or professional expense,baseline_expense,BANK-RIO-SUR
TX-0014,CUST-005,CP-010,2026-01-08 15:00:00,DEBIT,3968.01,USD,INTERNATIONAL_TRANSFER,Supplier payment for imported goods,legitimate_international,BANK-RIO-SUR
TX-0015,CUST-001,CP-002,2026-01-09 08:00:00,DEBIT,392.18,USD,CARD,Routine household or professional expense,baseline_expense,BANK-RIO-SUR
TX-0016,CUST-005,CP-018,2026-01-11 13:00:00,CREDIT,2245.19,USD,CARD_PROCESSOR,Business customer receipts,business_receipts,BANK-RIO-SUR
TX-0017,CUST-003,CP-004,2026-01-11 17:00:00,DEBIT,477.74,USD,CARD,Routine household or professional expense,baseline_expense,BANK-RIO-SUR
TX-0018,CUST-008,CP-001,2026-01-12 08:00:00,DEBIT,806.04,USD,CARD,Software and living expenses,baseline_expense,BANK-RIO-SUR
TX-0019,CUST-012,CP-015,2026-01-12 13:00:00,CREDIT,5717.73,USD,BANK_TRANSFER,Investment return,legitimate_high_value,BANK-RIO-SUR
TX-0020,CUST-001,CP-002,2026-01-12 19:00:00,DEBIT,443.37,USD,BANK_TRANSFER,Routine household or professional expense,baseline_expense,BANK-RIO-SUR
TX-0021,CUST-004,CP-001,2026-01-12 19:00:00,DEBIT,592.04,USD,BANK_TRANSFER,Professional operating expense,baseline_expense,BANK-RIO-SUR
TX-0022,CUST-012,CP-015,2026-01-12 20:00:00,DEBIT,5673.47,USD,BANK_TRANSFER,Investment activity,legitimate_high_value,BANK-RIO-SUR
TX-0023,CUST-012,CP-014,2026-01-13 18:00:00,CREDIT,11713.2,USD,BANK_TRANSFER,Business-related receipt,complex_business,BANK-RIO-SUR
TX-0024,CUST-009,CP-006,2026-01-14 12:00:00,CREDIT,4262.97,USD,BANK_TRANSFER,Legal services client payment,professional_income,BANK-RIO-SUR
TX-0025,CUST-011,CP-017,2026-01-14 14:00:00,DEBIT,299.94,USD,CARD,Professional or personal expense,baseline_expense,BANK-RIO-SUR
TX-0026,CUST-002,CP-003,2026-01-15 11:00:00,CREDIT,4746.59,USD,BANK_TRANSFER,Regular professional/employment income,baseline_income,BANK-RIO-SUR
TX-0027,CUST-010,CP-018,2026-01-15 13:00:00,CREDIT,2793.14,USD,CARD_PROCESSOR,Retail business receipt,high_volume_business,BANK-RIO-SUR
TX-0028,CUST-009,CP-006,2026-01-16 17:00:00,DEBIT,822.41,USD,BANK_TRANSFER,Professional expense,baseline_expense,BANK-RIO-SUR
TX-0029,CUST-009,CP-006,2026-01-18 09:00:00,DEBIT,485.13,USD,BANK_TRANSFER,Professional expense,baseline_expense,BANK-RIO-SUR
TX-0030,CUST-012,CP-015,2026-01-18 13:00:00,CREDIT,2170.88,USD,BANK_TRANSFER,Investment return,legitimate_high_value,BANK-RIO-SUR
TX-0031,CUST-010,CP-016,2026-01-18 15:00:00,DEBIT,969.04,USD,BANK_TRANSFER,Retail supplier payment,high_volume_business,BANK-RIO-SUR
TX-0032,CUST-005,CP-010,2026-01-18 16:00:00,DEBIT,3584.89,USD,INTERNATIONAL_TRANSFER,Supplier payment for imported goods,legitimate_international,BANK-RIO-SUR
TX-0033,CUST-004,CP-001,2026-01-18 18:00:00,DEBIT,683.82,USD,BANK_TRANSFER,Professional operating expense,baseline_expense,BANK-RIO-SUR
TX-0034,CUST-003,CP-004,2026-01-19 08:00:00,DEBIT,348.3,USD,BANK_TRANSFER,Routine household or professional expense,baseline_expense,BANK-RIO-SUR
TX-0035,CUST-003,CP-004,2026-01-19 16:00:00,DEBIT,96.3,USD,BANK_TRANSFER,Routine household or professional expense,baseline_expense,BANK-RIO-SUR
TX-0036,CUST-006,CP-007,2026-01-19 18:00:00,DEBIT,523.5,USD,BANK_TRANSFER,Routine household or professional expense,baseline_expense,BANK-RIO-SUR
TX-0037,CUST-006,CP-007,2026-01-20 10:00:00,DEBIT,115.86,USD,BANK_TRANSFER,Routine household or professional expense,baseline_expense,BANK-RIO-SUR
TX-0038,CUST-008,CP-008,2026-01-20 10:00:00,DEBIT,584.83,USD,CARD,Software and living expenses,baseline_expense,BANK-RIO-SUR
TX-0039,CUST-007,CP-013,2026-01-20 15:00:00,DEBIT,1534.69,USD,BANK_TRANSFER,Supplier payment,business_expense,BANK-RIO-SUR
TX-0040,CUST-010,CP-016,2026-01-21 14:00:00,DEBIT,399.63,USD,BANK_TRANSFER,Retail supplier payment,high_volume_business,BANK-RIO-SUR
